query_id;query_text;rank;document_id;document_title;score;relevant
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";1;184;scale models for thermo-aeroelastic research .;24.23917668517398;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";2;486;similarity laws for aerothermoelastic testing .;22.011789822461612;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";3;13;similarity laws for stressing heated wings .;21.364327702371693;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";4;1268;"stable combustion of a high-velocity gas in a heated
boundary layer .";18.674913424267388;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";5;12;"some structural and aerelastic considerations of high
speed flight .";17.897519068188593;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";6;51;"theory of aircraft structural models subjected to aerodynamic
heating and external loads .";16.02665459629018;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";7;878;"experimental model techniques and equipment for flutter
investigations .";13.732812923158807;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";8;14;"piston theory - a new aerodynamic tool for the
aeroelastician .";13.717975659959373;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";9;875;models for aeroelastic investigation .;13.102565506991295;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";10;792;some low speed problems of high speed aircraft .;12.907033388635508;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";1;493;"real-gas laminar boundary layer skin friction and heat
transfer .";27.545463179509238;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";2;302;"approximations for the thermodynamic and transport properties of high
temperature air .";19.459610439310996;True
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";3;949;"charts for equilibrium flow properties of air in
hyper-velocity nozzles .";17.800049814812446;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";4;1199;"theoretical investigations of a supersonic laminar
boundary layer with foreign-gas injection .";17.750035303215274;False
