preprocessing,k1,b,query_id,query_text,rank,document_id,document_title,score,relevant
without_stopwords_with_stemming,0.5,0.0,1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",1,486,similarity laws for aerothermoelastic testing .,19.84881887400073,False
without_stopwords_with_stemming,0.5,0.0,1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",2,51,"theory of aircraft structural models subjected to aerodynamic
heating and external loads .",17.879621179541374,True
without_stopwords_with_stemming,0.5,0.0,1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",3,329,"various aerodynamic characteristics in hypersonic rarefied
gas flow .",17.803056114795428,False
without_stopwords_with_stemming,0.5,0.0,1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",4,573,viscous hypersonic similitude .,16.61258974590853,False
without_stopwords_with_stemming,0.5,0.0,1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",5,12,"some structural and aerelastic considerations of high
speed flight .",14.84462652685135,True
without_stopwords_with_stemming,0.5,0.0,1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",6,184,scale models for thermo-aeroelastic research .,14.37640543909174,True
without_stopwords_with_stemming,0.5,0.0,1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",7,14,"piston theory - a new aerodynamic tool for the
aeroelastician .",14.305989252420352,True
without_stopwords_with_stemming,0.5,0.0,1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",8,576,"viscous and inviscid stagnation flow in a dissociated hypervelocity free
 stream .",13.389736604290391,False
without_stopwords_with_stemming,0.5,0.0,1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",9,878,"experimental model techniques and equipment for flutter
investigations .",12.907885726302581,False
without_stopwords_with_stemming,0.5,0.0,1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",10,78,"an analytical treatment of aircraft propeller precession
instability .",12.198126657357012,False
without_stopwords_with_stemming,0.5,0.0,10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",1,493,"real-gas laminar boundary layer skin friction and heat
transfer .",19.412774369965756,False
without_stopwords_with_stemming,0.5,0.0,10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",2,302,"approximations for the thermodynamic and transport properties of high
temperature air .",17.362970080728772,True
without_stopwords_with_stemming,0.5,0.0,10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",3,110,dynamics of a dissociating gas .,15.71133667477927,False
without_stopwords_with_stemming,0.5,0.0,10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",4,1143,"a one-foot hypervelocity shock tunnel in which high-enthalpy
real gas flows can be generated with flow times of
about 180 milliseconds .",15.469745194687604,False
without_stopwords_with_stemming,0.5,0.0,10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",5,1199,"theoretical investigations of a supersonic laminar
boundary layer with foreign-gas injection .",14.458039484596217,False
without_stopwords_with_stemming,0.5,0.0,10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",6,329,"various aerodynamic characteristics in hypersonic rarefied
gas flow .",14.34695964266561,False
without_stopwords_with_stemming,0.5,0.0,10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",7,949,"charts for equilibrium flow properties of air in
hyper-velocity nozzles .",14.134358436451688,False
without_stopwords_with_stemming,0.5,0.0,10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",8,1010,free-flight measurements of the static and dynamic .,13.69887941511652,False
without_stopwords_with_stemming,0.5,0.0,10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",9,1264,"boundary layer transition and heat transfer in shock
tubes .",13.26283121253006,False
without_stopwords_with_stemming,0.5,0.0,10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",10,1286,"equilibrium real-gas performance charts for a shypersonic
shock-tube wind-tunnel employing nitrogen .",12.574283008202853,False
without_stopwords_with_stemming,0.5,0.0,100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",1,760,"inelastic buckling of initially imperfect cylindrical
shells subject to axial compression .",25.41534324115283,False
without_stopwords_with_stemming,0.5,0.0,100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",2,822,"effects of imperfections on buckling of thin cylinders
and columns under axial compression .",24.823034578957444,True
without_stopwords_with_stemming,0.5,0.0,100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",3,1122,"on the role of initial imperfections in plastic buckling
of cylinders under axial compression .",24.316832150904442,True
without_stopwords_with_stemming,0.5,0.0,100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",4,739,"the buckling of thin cylindrical shells under axial
compression .",23.50759429403249,False
without_stopwords_with_stemming,0.5,0.0,100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",5,928,"a new theory for the buckling of thin cylinders under
axial compression and bending .",22.69544260741395,False
without_stopwords_with_stemming,0.5,0.0,100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",6,1051,"the stability of thin-walled unstiffened circular cylinders
under axial compression including the effects of internal
pressure .",22.678830928826574,True
without_stopwords_with_stemming,0.5,0.0,100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",7,740,"the behaviour of a cylindrical shell under axial compression
when the buckling load has been exceeded .",21.22989437053226,False
without_stopwords_with_stemming,0.5,0.0,100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",8,1172,"elastic stability of circular cylindrical shells stabilized
by a soft elastic core .",20.136369157364364,False
without_stopwords_with_stemming,0.5,0.0,100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",9,1126,"an engineer's conceptual approach to the buckling of
cylindrical shell (axial loading) .",19.21085812166991,False
without_stopwords_with_stemming,0.5,0.0,100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",10,897,"some results on buckling and postbuckling of cylindrical
shells .",18.63250262774803,False
without_stopwords_with_stemming,0.5,0.0,101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",1,760,"inelastic buckling of initially imperfect cylindrical
shells subject to axial compression .",24.787788348064485,False
without_stopwords_with_stemming,0.5,0.0,101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",2,819,"stresses in the plastic range around a normally loaded
circular hole in an infinite sheet .",24.659701278601567,True
