query_id,query_text,rank,document_id,document_title,score,relevant
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",1,13,similarity laws for stressing heated wings .,0.2615729240366096,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",2,184,scale models for thermo-aeroelastic research .,0.23401959660560703,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",3,486,similarity laws for aerothermoelastic testing .,0.20562087568595538,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",4,875,models for aeroelastic investigation .,0.18730913095446042,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",5,12,"some structural and aerelastic considerations of high
speed flight .",0.18232096186158414,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",6,746,"aeroelastic problems in connection with high speed
flight .",0.14399223584025142,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",7,51,"theory of aircraft structural models subjected to aerodynamic
heating and external loads .",0.13978789477049117,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",8,878,"experimental model techniques and equipment for flutter
investigations .",0.12981944619149693,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",9,1268,"stable combustion of a high-velocity gas in a heated
boundary layer .",0.12424598015180217,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",10,435,"application of similar solutions to calculations of
laminar heat transfer on bodies with yaw and large
pressure gradients in high speed flow .",0.11332798036167671,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",1,493,"real-gas laminar boundary layer skin friction and heat
transfer .",0.2844624607400387,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",2,949,"charts for equilibrium flow properties of air in
hyper-velocity nozzles .",0.20406238936329293,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",3,302,"approximations for the thermodynamic and transport properties of high
temperature air .",0.19450969899517057,True
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",4,524,"stagnation point heat transfer in partially ionized
air .",0.1836581017059959,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",5,1199,"theoretical investigations of a supersonic laminar
boundary layer with foreign-gas injection .",0.16557359044938988,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",6,405,tables of thermal properties of gases .,0.16428319541466663,True
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",7,1286,"equilibrium real-gas performance charts for a shypersonic
shock-tube wind-tunnel employing nitrogen .",0.1549243908309812,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",8,1009,free-flight measurements of the static and dynamic .,0.1497390638250762,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",9,691,"calculation procedure for thermodynamic transport, and flow properties
of the combustion products of a hydrocarbon fuel mixture burned in air
with results for ethylene-air and methane-air mixtures .",0.14909850528494234,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",10,1010,free-flight measurements of the static and dynamic .,0.14440410321877442,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",1,1171,"the stability under axial compression and lateral pressure
of circular cylindrical shells with a soft elastic
core .",0.39983386937607945,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",2,760,"inelastic buckling of initially imperfect cylindrical
shells subject to axial compression .",0.3962817337879349,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",3,822,"effects of imperfections on buckling of thin cylinders
and columns under axial compression .",0.38927346101140825,True
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",4,1122,"on the role of initial imperfections in plastic buckling
of cylinders under axial compression .",0.3855172350058591,True
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",5,741,"the behaviour of thin cylindrical shells after buckling
under axial compression .",0.3804745228111545,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",6,1126,"an engineer's conceptual approach to the buckling of
cylindrical shell (axial loading) .",0.3392312227526315,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",7,1118,elastic stability of orthotropic shells .,0.3234360931334629,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",8,1067,"plastic stability theory of geometrically orthotropic
plates and cylindrical shells .",0.3117090997219149,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",9,739,"the buckling of thin cylindrical shells under axial
compression .",0.3058419579903109,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",10,885,"buckling of thin cylindrical shells under hoop stresses
varying in axial direction .",0.3027234594293751,False
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",1,817,loading paths and the incremental stress law .,0.35489092465304517,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",2,819,"stresses in the plastic range around a normally loaded
circular hole in an infinite sheet .",0.30020632536629954,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",3,823,"plastic torsional buckling strength of cylinders including
the effects of imperfections .",0.2843911865933366,False
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",4,820,theories of plastic buckling .,0.26094540851453213,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",5,1119,plastic stability theory of thin shells .,0.24580144525872827,False
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",6,818,"a quantitative comparison of flow and deformation theories
of plasticity .",0.22081753634316945,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",7,760,"inelastic buckling of initially imperfect cylindrical
shells subject to axial compression .",0.21428716512778426,False
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",8,825,inelastic instability and incremental theories of plasticity .,0.20550719622388455,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",9,837,"inelastic behaviour of structures subjected to cyclic
thermal and mechanical stressing conditions .",0.181014778387095,False
