query_id,query_text,rank,document_id,document_title,score,relevant
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",1,184,scale models for thermo-aeroelastic research .,21.19448928272834,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",2,486,similarity laws for aerothermoelastic testing .,21.152081502261524,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",3,13,similarity laws for stressing heated wings .,20.412567270947715,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",4,12,"some structural and aerelastic considerations of high
speed flight .",17.87607222722266,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",5,1268,"stable combustion of a high-velocity gas in a heated
boundary layer .",14.779987149202027,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",6,878,"experimental model techniques and equipment for flutter
investigations .",13.927007693252666,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",7,51,"theory of aircraft structural models subjected to aerodynamic
heating and external loads .",13.54747699228711,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",8,875,models for aeroelastic investigation .,12.924320964115186,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",9,746,"aeroelastic problems in connection with high speed
flight .",12.895148559988796,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",10,141,free-flight techniques for high speed aerodynamic research .,11.520115331417863,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",1,493,"real-gas laminar boundary layer skin friction and heat
transfer .",24.62099686592615,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",2,302,"approximations for the thermodynamic and transport properties of high
temperature air .",16.78488472775649,True
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",3,1199,"theoretical investigations of a supersonic laminar
boundary layer with foreign-gas injection .",16.73091349366361,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",4,524,"stagnation point heat transfer in partially ionized
air .",16.373500331204447,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",5,949,"charts for equilibrium flow properties of air in
hyper-velocity nozzles .",16.325867167886763,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",6,1286,"equilibrium real-gas performance charts for a shypersonic
shock-tube wind-tunnel employing nitrogen .",15.54803770421147,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",7,691,"calculation procedure for thermodynamic transport, and flow properties
of the combustion products of a hydrocarbon fuel mixture burned in air
with results for ethylene-air and methane-air mixtures .",15.277569201287118,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",8,1010,free-flight measurements of the static and dynamic .,14.657945311438777,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",9,1009,free-flight measurements of the static and dynamic .,14.439972001121259,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",10,405,tables of thermal properties of gases .,13.984124371449436,True
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",1,760,"inelastic buckling of initially imperfect cylindrical
shells subject to axial compression .",33.03474219612664,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",2,1122,"on the role of initial imperfections in plastic buckling
of cylinders under axial compression .",31.856153213646774,True
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",3,822,"effects of imperfections on buckling of thin cylinders
and columns under axial compression .",30.75859606115169,True
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",4,739,"the buckling of thin cylindrical shells under axial
compression .",27.737609126210184,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",5,1126,"an engineer's conceptual approach to the buckling of
cylindrical shell (axial loading) .",26.92294760701646,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",6,1051,"the stability of thin-walled unstiffened circular cylinders
under axial compression including the effects of internal
pressure .",26.680738176914502,True
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",7,1171,"the stability under axial compression and lateral pressure
of circular cylindrical shells with a soft elastic
core .",24.656157233332486,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",8,741,"the behaviour of thin cylindrical shells after buckling
under axial compression .",24.213892038603195,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",9,1172,"elastic stability of circular cylindrical shells stabilized
by a soft elastic core .",24.16246183737056,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",10,743,"new developments in the nonlinear theories of the buckling of thin
cylindrical shells .",23.461263631566066,False
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",1,819,"stresses in the plastic range around a normally loaded
circular hole in an infinite sheet .",32.82445947797668,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",2,817,loading paths and the incremental stress law .,31.27518072766534,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",3,820,theories of plastic buckling .,25.536957532623497,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",4,823,"plastic torsional buckling strength of cylinders including
the effects of imperfections .",25.48174771664393,False
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",5,1119,plastic stability theory of thin shells .,24.86383792423272,False
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",6,760,"inelastic buckling of initially imperfect cylindrical
shells subject to axial compression .",23.43860973634197,False
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",7,825,inelastic instability and incremental theories of plasticity .,22.66800254733075,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",8,837,"inelastic behaviour of structures subjected to cyclic
thermal and mechanical stressing conditions .",22.12470980160365,False
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",9,818,"a quantitative comparison of flow and deformation theories
of plasticity .",21.620558029922616,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",10,826,small bending and stretching of sandwich type shells .,19.146591986352043,False
102,basic dynamic characteristics of structures continuous over many spans .,1,910,"natural frequencies of continuous beams of uniform
span length .",15.218760244953561,True
102,basic dynamic characteristics of structures continuous over many spans .,2,729,stresses in continuous skin stiffener panels under random loading .,11.688933519978942,False
102,basic dynamic characteristics of structures continuous over many spans .,3,1007,free-flight measurements of the static and dynamic .,11.534149051687013,False
102,basic dynamic characteristics of structures continuous over many spans .,4,720,"a note on the use of sandwich structures in severe acoustic
environments .",10.673660664609777,False
102,basic dynamic characteristics of structures continuous over many spans .,5,913,vibrations of beams on many supports .,9.585722792208939,True
102,basic dynamic characteristics of structures continuous over many spans .,6,1331,"calculated responses of a large sweptwing airplane
to continuous turbulence with flight-test comparisons .",9.348295593505068,False
102,basic dynamic characteristics of structures continuous over many spans .,7,1092,"wing-nacelle-propeller interference for wings of various
spans . force and pressure distribution tests .",9.270435104065571,False
102,basic dynamic characteristics of structures continuous over many spans .,8,516,"free-flight measurements of the dynamic longitudinal
stability characteristics of a wind tunnel interference
model (m=0 .92 to 1. 35) .",9.136488108523713,False
102,basic dynamic characteristics of structures continuous over many spans .,9,1001,"wind tunnel investigation of the static and dynamic stability
characteristics of a 10degree semivertex angle blunted cone .",9.087158976273427,False
102,basic dynamic characteristics of structures continuous over many spans .,10,998,"equations, tables and charts for compressible flow .",8.498854531481985,False
103,is the information on the buckling of sandwich sphere available .,1,761,buckling of sandwich under normal pressure .,19.72468619566234,False
103,is the information on the buckling of sandwich sphere available .,2,1050,"compressive buckling of simply supported curved plates
and cylinders of sandwich construction .",12.374973547044489,False
103,is the information on the buckling of sandwich sphere available .,3,1127,the buckling of sandwich type panels .,12.020226512176095,False
103,is the information on the buckling of sandwich sphere available .,4,1048,a small deflection theory for curved sandwich plates .,11.70480688970664,False
103,is the information on the buckling of sandwich sphere available .,5,956,"elastic stability of simply supported corrugated core
sand- wich cylinders .",10.65590542111003,False
103,is the information on the buckling of sandwich sphere available .,6,1214,"the drag of elongated bodies over a wide reynolds number
range .",9.971416294607664,False
103,is the information on the buckling of sandwich sphere available .,7,1126,"an engineer's conceptual approach to the buckling of
cylindrical shell (axial loading) .",9.913668462909682,False
103,is the information on the buckling of sandwich sphere available .,8,951,a unified theory of creep buckling under normal loads .,9.849463950047712,False
103,is the information on the buckling of sandwich sphere available .,9,1027,note on creep buckling of columns .,9.036962127323863,False
