query_id,query_text,rank,document_id,document_title,score,relevant
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",1,51,"theory of aircraft structural models subjected to aerodynamic
heating and external loads .",21.805955865608002,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",2,486,similarity laws for aerothermoelastic testing .,21.292175653470373,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",3,12,"some structural and aerelastic considerations of high
speed flight .",18.469201155819256,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",4,184,scale models for thermo-aeroelastic research .,17.840165269615646,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",5,573,viscous hypersonic similitude .,16.832737360508354,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",6,878,"experimental model techniques and equipment for flutter
investigations .",16.41048191523638,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",7,665,"on the theory of hypersonic gas flow with a power law
shock wave .",14.331919597923783,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",8,746,"aeroelastic problems in connection with high speed
flight .",14.124771870548392,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",9,141,free-flight techniques for high speed aerodynamic research .,12.917361995900485,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",10,78,"an analytical treatment of aircraft propeller precession
instability .",12.454272384582799,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",1,493,"real-gas laminar boundary layer skin friction and heat
transfer .",21.953522777914568,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",2,302,"approximations for the thermodynamic and transport properties of high
temperature air .",21.814532519549907,True
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",3,1143,"a one-foot hypervelocity shock tunnel in which high-enthalpy
real gas flows can be generated with flow times of
about 180 milliseconds .",19.793380263248338,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",4,949,"charts for equilibrium flow properties of air in
hyper-velocity nozzles .",17.911309924268394,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",5,1199,"theoretical investigations of a supersonic laminar
boundary layer with foreign-gas injection .",16.538263390230515,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",6,524,"stagnation point heat transfer in partially ionized
air .",16.011096506339562,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",7,1286,"equilibrium real-gas performance charts for a shypersonic
shock-tube wind-tunnel employing nitrogen .",15.324018391006241,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",8,1010,free-flight measurements of the static and dynamic .,15.146374519848536,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",9,691,"calculation procedure for thermodynamic transport, and flow properties
of the combustion products of a hydrocarbon fuel mixture burned in air
with results for ethylene-air and methane-air mixtures .",15.05497014413077,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",10,1009,free-flight measurements of the static and dynamic .,14.353933226316052,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",1,760,"inelastic buckling of initially imperfect cylindrical
shells subject to axial compression .",31.528718542363016,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",2,1122,"on the role of initial imperfections in plastic buckling
of cylinders under axial compression .",29.6252316172844,True
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",3,822,"effects of imperfections on buckling of thin cylinders
and columns under axial compression .",28.78130776485286,True
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",4,739,"the buckling of thin cylindrical shells under axial
compression .",25.37364191025748,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",5,1126,"an engineer's conceptual approach to the buckling of
cylindrical shell (axial loading) .",25.09611354936346,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",6,1172,"elastic stability of circular cylindrical shells stabilized
by a soft elastic core .",25.051493259267986,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",7,740,"the behaviour of a cylindrical shell under axial compression
when the buckling load has been exceeded .",24.985175678723103,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",8,897,"some results on buckling and postbuckling of cylindrical
shells .",24.14333436886207,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",9,1051,"the stability of thin-walled unstiffened circular cylinders
under axial compression including the effects of internal
pressure .",23.45692084714839,True
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",10,885,"buckling of thin cylindrical shells under hoop stresses
varying in axial direction .",23.21931568682123,False
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",1,819,"stresses in the plastic range around a normally loaded
circular hole in an infinite sheet .",31.198409014659028,True
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",2,817,loading paths and the incremental stress law .,29.395011823592185,True
