query_id;query_text;rank;document_id;document_title;score;relevant
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";1;51;"theory of aircraft structural models subjected to aerodynamic
heating and external loads .";0.26345373018319856;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";2;184;scale models for thermo-aeroelastic research .;0.22588065848774522;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";3;12;"some structural and aerelastic considerations of high
speed flight .";0.2148275110631548;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";4;486;similarity laws for aerothermoelastic testing .;0.21423099584577;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";5;878;"experimental model techniques and equipment for flutter
investigations .";0.18877666625244108;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";6;573;viscous hypersonic similitude .;0.18831476310820924;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";7;746;"aeroelastic problems in connection with high speed
flight .";0.18329801195378542;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";8;875;models for aeroelastic investigation .;0.1831836105144943;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";9;879;flutter model testing at transonic speeds .;0.1779483404534828;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";10;665;"on the theory of hypersonic gas flow with a power law
shock wave .";0.17711908257463604;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";1;302;"approximations for the thermodynamic and transport properties of high
temperature air .";0.30898849207873635;True
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";2;493;"real-gas laminar boundary layer skin friction and heat
transfer .";0.2878522397058575;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";3;1143;"a one-foot hypervelocity shock tunnel in which high-enthalpy
real gas flows can be generated with flow times of
about 180 milliseconds .";0.27606229780600255;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";4;949;"charts for equilibrium flow properties of air in
hyper-velocity nozzles .";0.23974464628987646;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";5;524;"stagnation point heat transfer in partially ionized
air .";0.21483445063154333;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";6;1199;"theoretical investigations of a supersonic laminar
boundary layer with foreign-gas injection .";0.1952676108891169;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";7;1286;"equilibrium real-gas performance charts for a shypersonic
shock-tube wind-tunnel employing nitrogen .";0.18810139699159126;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";8;1009;free-flight measurements of the static and dynamic .;0.18780458269952222;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";9;405;tables of thermal properties of gases .;0.18459089121416322;True
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";10;691;"calculation procedure for thermodynamic transport, and flow properties
of the combustion products of a hydrocarbon fuel mixture burned in air
with results for ethylene-air and methane-air mixtures .";0.17905305393866078;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";1;760;"inelastic buckling of initially imperfect cylindrical
shells subject to axial compression .";0.47179005166822396;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";2;1122;"on the role of initial imperfections in plastic buckling
of cylinders under axial compression .";0.41338488577141375;True
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";3;822;"effects of imperfections on buckling of thin cylinders
and columns under axial compression .";0.40460893419806987;True
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";4;1126;"an engineer's conceptual approach to the buckling of
cylindrical shell (axial loading) .";0.3907330131121939;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";5;1171;"the stability under axial compression and lateral pressure
of circular cylindrical shells with a soft elastic
core .";0.389827486369093;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";6;897;"some results on buckling and postbuckling of cylindrical
shells .";0.3844050599097143;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";7;885;"buckling of thin cylindrical shells under hoop stresses
varying in axial direction .";0.37719655231888216;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";8;1172;"elastic stability of circular cylindrical shells stabilized
by a soft elastic core .";0.3739001296066175;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";9;741;"the behaviour of thin cylindrical shells after buckling
under axial compression .";0.36958865475683633;False
100;"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .";10;740;"the behaviour of a cylindrical shell under axial compression
when the buckling load has been exceeded .";0.340800423344089;False
101;"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .";1;817;loading paths and the incremental stress law .;0.4249449344364471;True
